1	1060.76
2	1078.35
3	1086.9
4	1081.6
5	1065.42
6	1047.61
7	1038.75
8	1044.26
	*
1	1093.62
2	1105.47
3	1107.13
4	1097.66
5	1082.45
6	1070.34
7	1068.63
8	1078.35
	*
1	1074.37
2	1082.11
3	1088.12
4	1088.94
5	1084.1
6	1076.38
7	1070.3
8	1069.46
	*
1	1079.45
2	1096.16
3	1099.43
4	1087.45
5	1066.92
6	1049.74
7	1046.32
8	1058.76
	*
1	1083.15
2	1082.68
3	1087.13
4	1093.84
5	1098.89
6	1099.35
7	1094.95
8	1088.24
	*
1	1082.7
2	1079.43
3	1069.79
4	1059.34
5	1054.26
6	1057.61
7	1067.36
8	1077.74
	*
1	1095.9
2	1090.44
3	1078.34
4	1066.59
5	1062.19
6	1067.79
7	1080.02
8	1091.62
	*
1	1067.33
2	1078.76
3	1092.89
4	1101.48
5	1099.65
6	1088.44
7	1074.25
8	1065.45
	*
1	1034.79
2	1039.89
3	1054.68
4	1070.3
5	1077.75
6	1072.82
7	1058.3
8	1042.49
	*
1	1061.97
2	1051.69
3	1060.47
4	1082.85
5	1105.38
6	1115.17
7	1106.82
8	1084.93
	*
1	1079.62
2	1087.14
3	1080.17
4	1062.59
5	1044.47
6	1036.64
7	1043.9
8	1061.79
	*
1	1053.89
2	1060.75
3	1075.45
4	1089.28
5	1094.29
6	1087.64
7	1073.11
8	1059.06
	*
1	1072.42
2	1069.26
3	1066.46
4	1065.66
5	1067.34
6	1070.51
7	1073.3
8	1074.09
	*
1	1091.57
2	1090.22
3	1082.58
4	1073.04
5	1067.23
6	1068.61
7	1076.35
8	1085.86
	*
1	1096.96
2	1080.52
3	1072.07
4	1076.76
5	1091.71
6	1107.98
7	1116.16
8	1111.64
	*
1	1090.69
2	1087.86
3	1079.79
4	1071.14
5	1067.02
6	1069.91
7	1078.06
8	1086.65
	*
1	1056.92
2	1075.35
3	1087.17
4	1085.74
5	1071.84
6	1053.36
7	1041.15
8	1042.64
	*
1	1079.82
2	1086.67
3	1089.49
4	1086.65
5	1079.78
6	1072.89
7	1070.03
8	1072.91
	*
1	1087.56
2	1085.19
3	1072.68
4	1057.17
5	1047.8
6	1050.25
7	1063.03
8	1078.45
	*
1	1057.12
2	1053.32
3	1060.04
4	1073.23
5	1085.07
6	1088.76
7	1082.21
8	1069.14
	*
1	1067.32
2	1066.18
3	1063.17
4	1060.06
5	1058.66
6	1059.82
7	1062.83
8	1065.94
	*
1	1071.43
2	1071.34
3	1069.46
4	1066.9
5	1065.16
6	1065.26
7	1067.14
8	1069.7
	*
1	1059.22
2	1060.86
3	1060.49
4	1058.32
5	1055.62
6	1053.97
7	1054.35
8	1056.52
	*
1	1083.29
2	1080.51
3	1077.55
4	1076.13
5	1077.11
6	1079.89
7	1082.85
8	1084.25
	*
1	1073.01
2	1065.85
3	1064.38
4	1069.5
5	1078.13
6	1085.21
7	1086.65
8	1081.62
	*
1	1088.74
2	1073.97
3	1070.28
4	1079.92
5	1097.04
6	1111.5
7	1115.05
8	1105.71
	*
1	1057.02
2	1045.59
3	1043.63
4	1052.34
5	1066.46
6	1077.67
7	1079.57
8	1071.08
	*
1	1059.73
2	1064.63
3	1066.16
4	1063.42
5	1058
6	1053.07
7	1051.53
8	1054.29
	*
1	1073.28
2	1074.84
3	1071.46
4	1065.08
5	1059.43
6	1057.85
7	1061.27
8	1067.67
	*
1	1081.3
2	1092.21
3	1102.29
4	1105.72
5	1100.55
6	1089.73
7	1079.53
8	1076.02
	*
1	1066.97
2	1086.63
3	1093.85
4	1084.63
5	1064.09
6	1044
7	1036.43
8	1046.08
	*
1	1076.44
2	1082.73
3	1084.26
4	1080.15
5	1072.77
6	1066.42
7	1064.87
8	1069.04
	*
1	1088.25
2	1084.9
3	1072.23
4	1057.51
5	1049.43
6	1052.89
7	1065.78
8	1080.39
	*
1	1076.14
2	1092.05
3	1105.68
4	1109.24
5	1100.73
6	1084.96
7	1071.06
8	1067.37
	*
1	1064.24
2	1082.6
3	1092.71
4	1088.91
5	1073.31
6	1054.79
7	1044.31
8	1048.28
	*
1	1092
2	1066.9
3	1046.48
4	1043.19
5	1059.1
6	1084.38
7	1104.11
8	1107.21
	*
1	1089.21
2	1068.05
3	1052.66
4	1052.4
5	1067.45
6	1088.63
7	1103.52
8	1103.76
	*
1	1080.92
2	1075.43
3	1060.39
4	1044.44
5	1037.06
6	1042.76
7	1058.05
8	1073.79
	*
1	1082.14
2	1077.72
3	1075.28
4	1076.26
5	1080.08
6	1084.49
7	1086.91
8	1085.94
	*
1	1085.99
2	1091.89
3	1091.84
4	1085.86
5	1077.41
6	1071.43
7	1071.48
8	1077.54
	*
1	1085.23
2	1083.59
3	1078.16
4	1072.09
5	1068.96
6	1070.61
7	1076.08
8	1082.13
	*
1	1086.66
2	1094.48
3	1094.65
4	1087.09
5	1076.12
6	1068.16
7	1067.98
8	1075.68
